time,tst-15.1,tst-15.2,tst-15.3,tst-15.4,tst-15.5,tst-15.6,tst-15.7,tst-15.8,tst-15.9,tst-15.10,tst-15.11,tst-15.12,tst-15.13,tst-15.14
122,0.000417158,0.000434651,0.000548166,0.00058877,0.000758215,0.000836481,0.001067082,0.001196734,0.001480157,0.001674107,0.00453513,0.005187637,0.007917065,0.009025555
123,0.000417156,0.000434649,0.000548163,0.000588768,0.000758223,0.000836492,0.001067218,0.001196892,0.001480838,0.001674896,0.004551095,0.005206038,0.007959858,0.009074634
124,0.000417154,0.000434648,0.000548161,0.000588766,0.000758231,0.000836501,0.001067348,0.001197044,0.001481498,0.001675659,0.004566879,0.005224229,0.008002407,0.009123453
125,0.000417151,0.000434645,0.000548158,0.000588764,0.000758237,0.00083651,0.001067472,0.001197188,0.001482135,0.001676397,0.004582482,0.005242212,0.008044709,0.009172006
126,0.000417147,0.000434642,0.000548154,0.000588761,0.000758242,0.000836518,0.001067589,0.001197326,0.00148275,0.00167711,0.004597907,0.005259989,0.008086767,0.009220292
127,0.000417144,0.000434641,0.000548151,0.000588759,0.000758248,0.000836526,0.001067702,0.001197457,0.001483345,0.001677799,0.004613156,0.005277562,0.008128581,0.009268303
128,0.000417143,0.00043464,0.00054815,0.000588758,0.000758253,0.000836533,0.00106781,0.001197583,0.001483922,0.001678465,0.004628231,0.005294936,0.008170151,0.009316039
129,0.000417139,0.000434637,0.000548147,0.000588755,0.000758258,0.00083654,0.001067913,0.001197703,0.001484478,0.00167911,0.004643134,0.005312111,0.008211476,0.009363494
130,0.000417135,0.000434634,0.000548143,0.000588753,0.000758261,0.000836545,0.00106801,0.001197818,0.001485016,0.001679733,0.004657867,0.005329089,0.008252558,0.009410669
131,0.000417133,0.000434633,0.000548141,0.000588751,0.000758265,0.000836551,0.001068104,0.001197927,0.001485537,0.001680335,0.004672432,0.005345873,0.008293398,0.009457557
132,0.000417131,0.000434631,0.000548139,0.000588749,0.000758269,0.000836556,0.001068194,0.001198032,0.00148604,0.001680917,0.00468683,0.005362465,0.008334,0.009504161
133,0.000417128,0.000434629,0.000548136,0.000588747,0.000758272,0.000836561,0.001068279,0.001198132,0.001486527,0.00168148,0.004701065,0.005378869,0.008374361,0.009550478
134,0.000417125,0.000434627,0.000548133,0.000588745,0.000758274,0.000836565,0.001068361,0.001198227,0.001486997,0.001682024,0.004715136,0.005395084,0.008414486,0.00959651
135,0.000417123,0.000434625,0.00054813,0.000588743,0.000758276,0.000836569,0.001068438,0.001198318,0.001487452,0.00168255,0.004729047,0.005411113,0.008454376,0.009642257
136,0.000417121,0.000434624,0.000548128,0.000588742,0.000758279,0.000836573,0.001068513,0.001198405,0.001487892,0.001683058,0.004742799,0.00542696,0.008494035,0.009687721
137,0.000417118,0.000434622,0.000548126,0.00058874,0.000758281,0.000836576,0.001068584,0.001198488,0.001488318,0.00168355,0.004756394,0.005442625,0.008533461,0.009732905
138,0.000417115,0.000434619,0.000548123,0.000588737,0.000758282,0.000836579,0.001068652,0.001198567,0.001488728,0.001684025,0.004769834,0.005458111,0.008572661,0.009777812
139,0.000417113,0.000434618,0.00054812,0.000588736,0.000758283,0.000836582,0.001068716,0.001198643,0.001489126,0.001684484,0.00478312,0.00547342,0.008611635,0.009822445
140,0.000417111,0.000434617,0.000548119,0.000588734,0.000758285,0.000836585,0.001068779,0.001198715,0.001489511,0.001684928,0.004796254,0.005488554,0.008650386,0.00986681
141,0.000417109,0.000434615,0.000548116,0.000588732,0.000758286,0.000836587,0.001068838,0.001198784,0.001489882,0.001685358,0.004809239,0.005503515,0.008688915,0.00991091
142,0.000417106,0.000434612,0.000548113,0.00058873,0.000758286,0.000836589,0.001068894,0.00119885,0.001490242,0.001685773,0.004822075,0.005518305,0.008727225,0.009954751
143,0.000417104,0.000434611,0.000548111,0.000588729,0.000758287,0.000836591,0.001068947,0.001198913,0.001490589,0.001686174,0.004834764,0.005532925,0.008765319,0.009998336
144,0.000417102,0.00043461,0.000548109,0.000588727,0.000758288,0.000836592,0.001068999,0.001198973,0.001490925,0.001686562,0.004847308,0.005547378,0.008803197,0.010041671
145,0.0004171,0.000434608,0.000548107,0.000588725,0.000758288,0.000836594,0.001069048,0.00119903,0.00149125,0.001686937,0.004859709,0.005561666,0.008840861,0.01008476
146,0.000417097,0.000434606,0.000548105,0.000588723,0.000758288,0.000836595,0.001069095,0.001199085,0.001491564,0.001687299,0.004871969,0.005575791,0.008878314,0.010127608
147,0.000417095,0.000434604,0.000548102,0.000588722,0.000758288,0.000836596,0.001069139,0.001199137,0.001491868,0.00168765,0.004884088,0.005589754,0.008915556,0.010170217
148,0.000417093,0.000434603,0.000548101,0.00058872,0.000758289,0.000836597,0.001069182,0.001199187,0.001492162,0.001687988,0.004896069,0.005603557,0.008952589,0.010212592
149,0.000417091,0.000434602,0.000548099,0.000588719,0.000758289,0.000836598,0.001069223,0.001199235,0.001492446,0.001688316,0.004907913,0.005617203,0.008989412,0.010254736
150,0.000417089,0.0004346,0.000548096,0.000588717,0.000758288,0.000836599,0.001069261,0.00119928,0.00149272,0.001688633,0.004919622,0.005630693,0.009026029,0.010296652
151,0.000417087,0.000434598,0.000548094,0.000588715,0.000758288,0.0008366,0.001069298,0.001199323,0.001492985,0.001688938,0.004931197,0.005644028,0.009062439,0.010338341
152,0.000417085,0.000434597,0.000548092,0.000588714,0.000758288,0.0008366,0.001069334,0.001199365,0.001493242,0.001689234,0.00494264,0.00565721,0.009098644,0.010379805
153,0.000417083,0.000434596,0.00054809,0.000588713,0.000758288,0.000836601,0.001069368,0.001199404,0.00149349,0.00168952,0.004953953,0.005670243,0.009134644,0.010421045
154,0.000417081,0.000434594,0.000548088,0.000588711,0.000758287,0.000836601,0.0010694,0.001199442,0.00149373,0.001689797,0.004965136,0.005683126,0.009170439,0.010462062
155,0.000417079,0.000434593,0.000548086,0.000588709,0.000758286,0.000836601,0.00106943,0.001199478,0.001493962,0.001690064,0.004976191,0.005695861,0.009206031,0.010502856
156,0.000417077,0.000434591,0.000548085,0.000588708,0.000758286,0.000836601,0.00106946,0.001199513,0.001494187,0.001690322,0.00498712,0.005708451,0.009241421,0.010543427
